date,home,away,hg,ag,hs,as_,hst,ast,hc,ac,hy,ay,hr,ar,odds_h,odds_d,odds_a,o25,u25
2024-08-16,Man United,Fulham,1,0,14,10,5,2,7,8,2,3,0,0,1.65,1.66,1.6,1.61,2.37
2024-08-17,Arsenal,Wolves,2,0,18,9,6,3,8,2,2,2,0,0,1.15,1.15,1.18,1.42,2.93
2024-08-17,Everton,Brighton,0,3,9,10,1,5,1,5,1,1,1,0,3.15,3.06,2.63,1.89,1.96
2024-08-17,Ipswich,Liverpool,0,2,7,18,2,5,2,10,3,1,0,0,8.14,7.87,8.5,1.37,3.18
2024-08-17,Newcastle,Southampton,1,0,3,19,1,4,3,12,2,4,1,0,1.42,1.39,1.36,1.43,2.84
2024-08-17,Nott'm Forest,Bournemouth,1,1,14,13,8,4,2,6,1,3,0,0,2.24,2.25,2.45,1.87,1.96
2024-08-17,West Ham,Aston Villa,1,2,14,15,3,3,5,3,1,2,0,0,2.54,2.47,2.45,1.68,2.22
2024-08-18,Brentford,Crystal Palace,2,1,9,14,5,6,4,7,1,5,0,0,2.92,2.85,2.4,2,1.85
2024-08-18,Chelsea,Man City,0,2,10,11,3,5,4,3,1,1,0,0,3.86,3.64,4.1,1.56,2.45
2024-08-19,Leicester,Tottenham,1,1,7,15,3,7,2,13,1,1,0,0,4.64,4.57,5,1.54,2.52
2024-08-24,Aston Villa,Arsenal,0,2,11,9,3,4,4,1,1,3,0,0,4.85,4.66,4.33,1.72,2.18
2024-08-24,Brighton,Man United,2,1,14,11,5,4,4,4,1,2,0,0,2.42,2.41,2.5,1.54,2.52
2024-08-24,Crystal Palace,West Ham,0,2,14,18,2,3,3,3,1,1,0,0,1.97,1.98,2.15,1.67,2.25
2024-08-24,Fulham,Leicester,2,1,18,10,6,4,7,5,2,2,0,0,1.88,1.88,1.8,1.87,1.98
2024-08-24,Man City,Ipswich,4,1,14,1,5,1,10,1,2,3,0,0,1.1,1.09,1.08,1.29,3.62
2024-08-24,Southampton,Nott'm Forest,0,1,5,23,1,8,4,10,3,3,0,0,2.33,2.36,2.55,1.83,2.03
2024-08-24,Tottenham,Everton,4,0,13,10,7,1,12,5,0,0,0,0,1.37,1.37,1.44,1.42,2.89
2024-08-25,Bournemouth,Newcastle,1,1,16,14,4,5,8,9,2,2,0,0,2.63,2.57,2.9,1.57,2.44
2024-08-25,Liverpool,Brentford,2,0,19,8,8,2,9,4,2,3,0,0,1.22,1.22,1.27,1.32,3.42
2024-08-25,Wolves,Chelsea,2,6,12,14,4,8,5,5,2,3,0,0,3.91,3.89,4.33,1.61,2.36
2024-08-31,Arsenal,Brighton,1,1,11,22,7,4,3,7,3,2,1,0,1.37,1.37,1.33,1.54,2.52
2024-08-31,Brentford,Southampton,3,1,20,18,7,6,2,8,2,1,0,0,1.82,1.8,1.75,1.8,2.05
2024-08-31,Everton,Bournemouth,2,3,18,17,8,7,8,4,2,1,0,0,3.14,2.96,2.75,1.84,2
2024-08-31,Ipswich,Fulham,1,1,11,9,4,4,8,6,2,3,0,0,3.07,3.03,3,1.9,1.94
2024-08-31,Leicester,Aston Villa,1,2,9,10,3,5,1,4,4,5,0,0,4.01,4,4.5,1.78,2.08
2024-08-31,Nott'm Forest,Wolves,1,1,16,11,5,3,7,3,3,4,0,0,2,2,2,1.86,1.97
2024-08-31,West Ham,Man City,1,3,10,23,2,8,3,11,3,2,0,0,7.7,7.32,7,1.51,2.58
2024-09-01,Chelsea,Crystal Palace,1,1,13,9,7,3,4,5,4,2,0,0,1.68,1.65,1.6,1.54,2.53
2024-09-01,Man United,Liverpool,0,3,8,11,3,3,5,2,4,1,0,0,3.51,3.56,3.7,1.45,2.75
2024-09-01,Newcastle,Tottenham,2,1,9,20,3,6,7,12,4,4,0,0,2.53,2.46,2.5,1.4,3.01
2024-09-14,Aston Villa,Everton,3,2,17,6,8,2,6,2,1,4,0,0,1.68,1.68,1.5,1.78,2.07
2024-09-14,Bournemouth,Chelsea,0,1,19,10,7,3,6,3,6,8,0,0,3.17,3.11,3.4,1.47,2.73
2024-09-14,Brighton,Ipswich,0,0,21,6,6,1,9,2,4,3,0,0,1.53,1.48,1.38,1.62,2.34
2024-09-14,Crystal Palace,Leicester,2,2,20,9,4,4,5,2,0,3,0,0,1.67,1.67,1.62,1.85,2
2024-09-14,Fulham,West Ham,1,1,21,11,5,3,3,2,2,3,0,0,2.36,2.33,2.38,1.82,2.03
2024-09-14,Liverpool,Nott'm Forest,0,1,14,5,5,3,7,2,4,4,0,0,1.22,1.23,1.22,1.41,2.98
2024-09-14,Man City,Brentford,2,1,18,8,7,5,12,3,3,1,0,0,1.21,1.19,1.18,1.41,2.96
2024-09-14,Southampton,Man United,0,3,6,20,4,10,0,7,1,4,1,0,4.2,4.19,4.5,1.57,2.46
2024-09-15,Tottenham,Arsenal,0,1,15,7,5,4,7,6,5,3,0,0,2.77,2.77,3,1.61,2.37
2024-09-15,Wolves,Newcastle,1,2,12,14,5,6,4,7,3,3,0,0,3.6,3.59,3.4,1.64,2.31
2024-09-21,Aston Villa,Wolves,3,1,9,10,4,4,6,5,3,6,0,0,1.67,1.62,1.57,1.64,2.31
2024-09-21,Crystal Palace,Man United,0,0,9,15,4,6,4,11,3,1,0,0,2.8,2.85,2.88,1.68,2.25
2024-09-21,Fulham,Newcastle,3,1,22,15,11,4,6,0,6,0,0,0,3.02,2.89,3,1.68,2.24
2024-09-21,Leicester,Everton,1,1,12,16,2,5,6,1,1,2,0,0,2.1,2.11,2.45,1.79,2.07
2024-09-21,Liverpool,Bournemouth,3,0,19,19,13,6,3,9,1,4,0,0,1.25,1.26,1.3,1.31,3.53
2024-09-21,Southampton,Ipswich,1,1,11,13,3,6,2,10,4,4,0,0,2.42,2.44,2.25,1.8,2.02
2024-09-21,Tottenham,Brentford,3,1,23,6,10,6,9,4,3,1,0,0,1.48,1.47,1.55,1.4,3
2024-09-21,West Ham,Chelsea,0,3,15,12,7,5,6,5,5,2,0,0,3.59,3.53,3.6,1.51,2.6
2024-09-22,Brighton,Nott'm Forest,2,2,14,4,3,3,9,1,3,4,0,1,1.84,1.84,1.75,1.82,2.03
2024-09-22,Man City,Arsenal,2,2,33,5,11,3,8,2,3,4,0,1,1.81,1.78,1.8,2,1.85
2024-09-28,Arsenal,Leicester,4,2,36,5,16,3,17,0,2,4,0,0,1.2,1.2,1.17,1.59,2.4
2024-09-28,Brentford,West Ham,1,1,8,19,3,3,7,7,2,3,0,0,2.26,2.23,2.2,1.63,2.32
2024-09-28,Chelsea,Brighton,4,2,15,15,7,5,8,2,3,2,0,0,1.81,1.77,1.73,1.48,2.71
2024-09-28,Everton,Crystal Palace,2,1,8,17,2,5,5,8,2,1,0,0,2.79,2.75,2.7,1.89,1.95
2024-09-28,Newcastle,Man City,1,1,11,16,4,6,5,6,4,4,0,0,4.9,4.95,5.25,1.59,2.42
2024-09-28,Nott'm Forest,Fulham,0,1,11,14,1,2,6,5,2,4,0,0,2.65,2.54,2.38,2.19,1.68
2024-09-28,Wolves,Liverpool,1,2,8,10,3,6,2,10,2,3,0,0,8.72,8.71,8,1.4,3.03
2024-09-29,Ipswich,Aston Villa,2,2,15,7,5,3,10,0,4,1,0,0,3.64,3.65,4,1.8,2.05
2024-09-29,Man United,Tottenham,0,3,11,24,2,10,5,3,5,3,1,0,2.12,2.11,2.35,1.44,2.86
2024-09-30,Bournemouth,Southampton,3,1,14,9,6,3,7,4,2,5,0,0,1.49,1.52,1.65,1.57,2.46
2024-10-05,Arsenal,Southampton,3,1,29,8,6,2,13,1,0,3,0,0,1.16,1.18,1.14,1.44,2.86
2024-10-05,Brentford,Wolves,5,3,19,17,12,6,10,3,2,3,0,0,2.11,2.05,2.05,1.76,2.1
2024-10-05,Crystal Palace,Liverpool,0,1,9,16,5,4,3,8,4,2,0,0,5.14,5.03,6,1.66,2.27
2024-10-05,Everton,Newcastle,0,0,8,14,2,3,0,10,1,2,0,0,3.71,3.67,3.2,1.67,2.23
2024-10-05,Leicester,Bournemouth,1,0,6,17,2,2,0,9,4,1,0,0,3.7,3.5,3.1,1.63,2.33
2024-10-05,Man City,Fulham,3,2,20,11,7,4,8,3,2,1,0,0,1.26,1.26,1.25,1.49,2.68
2024-10-05,West Ham,Ipswich,4,1,23,9,13,2,5,5,0,1,0,0,1.92,1.91,1.8,1.73,2.15
2024-10-06,Aston Villa,Man United,0,0,11,10,1,4,6,3,1,5,0,0,2.23,2.2,2.2,1.47,2.73
2024-10-06,Brighton,Tottenham,3,2,11,13,4,3,4,7,2,2,0,0,2.94,2.89,2.9,1.4,3.03
2024-10-06,Chelsea,Nott'm Forest,1,1,22,16,8,9,11,3,6,2,0,1,1.52,1.5,1.48,1.59,2.41
2024-10-19,Bournemouth,Arsenal,2,0,13,6,4,1,7,4,1,1,0,1,5.17,4.85,5,1.89,1.96
2024-10-19,Fulham,Aston Villa,1,3,10,14,4,5,6,11,3,3,1,1,2.48,2.48,2.45,1.81,2.04
2024-10-19,Ipswich,Everton,0,2,13,11,2,8,5,8,1,1,0,0,2.44,2.38,2.38,1.86,2
2024-10-19,Man United,Brentford,2,1,23,8,11,2,9,2,2,2,0,0,1.67,1.69,1.7,1.51,2.62
2024-10-19,Newcastle,Brighton,0,1,21,10,6,5,9,4,2,2,0,0,1.75,1.73,1.95,1.51,2.59
2024-10-19,Southampton,Leicester,2,3,14,18,7,4,10,6,5,3,1,0,2.23,2.2,2.3,1.76,2.11
2024-10-19,Tottenham,West Ham,4,1,22,11,7,4,13,5,1,3,0,1,1.45,1.45,1.5,1.34,3.34
2024-10-20,Liverpool,Chelsea,2,1,9,12,5,2,1,6,4,3,0,0,1.72,1.67,1.62,1.39,3.04
2024-10-20,Wolves,Man City,1,2,3,22,2,7,1,18,4,1,0,0,8.08,8.3,8,1.49,2.67
2024-10-21,Nott'm Forest,Crystal Palace,1,0,20,20,6,7,6,6,2,3,0,0,2.38,2.36,2.3,2.31,1.64
2024-10-25,Leicester,Nott'm Forest,1,3,11,20,1,5,6,7,5,2,0,0,3.07,2.96,3,2,1.85
2024-10-26,Aston Villa,Bournemouth,1,1,18,11,8,3,9,7,7,6,0,0,1.79,1.81,1.85,1.63,2.33
2024-10-26,Brentford,Ipswich,4,3,20,11,9,5,5,5,0,1,0,1,1.68,1.66,1.65,1.68,2.24
2024-10-26,Brighton,Wolves,2,2,19,14,6,7,9,6,3,3,0,0,1.58,1.57,1.62,1.61,2.37
2024-10-26,Everton,Fulham,1,1,10,14,5,3,4,2,1,0,0,0,2.71,2.76,2.75,1.83,2.02
2024-10-26,Man City,Southampton,1,0,22,5,8,2,12,1,1,3,0,0,1.12,1.12,1.11,1.24,4.11
2024-10-27,Arsenal,Liverpool,2,2,9,9,3,4,1,3,2,2,0,0,2.27,2.26,2.5,1.88,1.96
2024-10-27,Chelsea,Newcastle,2,1,17,11,7,3,7,4,6,3,0,0,1.82,1.79,1.73,1.5,2.62
2024-10-27,Crystal Palace,Tottenham,1,0,14,11,6,3,8,8,4,4,0,0,3.78,3.73,3.9,1.52,2.59
2024-10-27,West Ham,Man United,2,1,12,18,3,5,6,5,5,1,0,0,3.39,3.3,2.88,1.63,2.32
2024-11-02,Bournemouth,Man City,2,1,12,18,6,4,3,10,2,1,0,0,6.11,5.83,5.5,1.56,2.48
2024-11-02,Ipswich,Leicester,1,1,14,20,2,6,4,6,4,2,1,0,2.36,2.36,2.25,1.69,2.22
