id,name,season,ip,so,bb,hr,er,gs
425794,Adam Wainwright,2020,65.67,54,15,9,23,10
425844,Zack Greinke,2020,67.0,67,9,6,30,12
445213,Brandon Kintzler,2020,24.33,14,11,3,6,0
445926,Jesse Chavez,2020,17.0,13,7,6,13,0
446321,Ross Detwiler,2020,19.67,15,5,2,7,0
446372,Corey Kluber,2020,1.0,1,1,0,0,1
448179,Rich Hill,2020,38.67,31,17,3,13,8
448855,Junior Guerra,2020,23.67,21,15,1,8,0
450203,Charlie Morton,2020,38.0,42,10,4,20,9
452657,Jon Lester,2020,61.0,42,17,11,35,12
453281,Wade LeBlanc,2020,22.33,13,8,6,20,6
453286,Max Scherzer,2020,67.33,92,23,10,28,12
453562,Jake Arrieta,2020,44.33,32,16,6,25,9
456501,Johnny Cueto,2020,63.33,56,26,9,38,12
457918,J.A. Happ,2020,49.33,42,15,8,19,9
458681,Lance Lynn,2020,84.0,89,25,13,31,13
468504,Jhoulys Chacín,2020,5.0,3,3,1,4,0
471911,Carlos Carrasco,2020,68.0,82,27,8,22,12
474463,Brett Anderson,2020,47.0,32,10,6,22,10
475479,David Phelps,2020,20.67,31,5,7,15,0
475479,David Phelps,2020,7.67,11,3,5,11,0
475479,David Phelps,2020,13.0,20,2,2,4,0
476594,Robert Stock,2020,13.33,14,10,0,7,0
477132,Clayton Kershaw,2020,58.33,62,8,8,14,10
488984,Tommy Hunter,2020,24.67,25,6,2,11,0
489119,Wade Miley,2020,14.33,12,9,1,9,4
489334,Craig Stammen,2020,24.0,20,4,2,15,0
500779,Jose Quintana,2020,10.0,12,3,1,5,1
501381,Michael Pineda,2020,26.67,25,7,0,10,5
501625,Jose Alvarez,2020,6.33,6,3,0,1,0
501985,Mike Minor,2020,56.67,62,20,11,35,11
501985,Mike Minor,2020,21.33,27,7,4,13,4
501985,Mike Minor,2020,35.33,35,13,7,22,7
502043,Kyle Gibson,2020,67.33,58,30,12,40,12
502171,Alex Cobb,2020,52.33,38,18,8,25,10
502179,Paolo Espino,2020,6.0,7,2,1,3,1
502239,Trevor Cahill,2020,25.0,31,14,3,9,6
502624,Chase Anderson,2020,33.67,38,10,11,27,7
502748,Brad Peacock,2020,2.33,3,1,0,2,0
506433,Yu Darvish,2020,76.0,93,14,5,17,12
518516,Madison Bumgarner,2020,41.67,30,13,13,30,9
518633,Danny Duffy,2020,56.33,57,22,10,31,11
518774,Matt Harvey,2020,11.67,10,5,6,15,4
518876,Merrill Kelly,2020,31.33,29,5,5,9,5
527048,Martín Pérez,2020,62.0,46,28,8,31,12
527054,Julio Teheran,2020,31.33,20,16,12,35,9
528748,Humberto Castellanos,2020,10.67,12,5,2,8,0
533167,Matt Shoemaker,2020,28.67,26,9,8,15,6
542881,Tyler Anderson,2020,59.67,41,25,5,29,11
543037,Gerrit Cole,2020,73.0,94,17,14,23,12
543056,Danny Coulombe,2020,2.67,3,3,0,0,0
543101,Anthony DeSclafani,2020,33.67,25,16,7,27,7
543135,Nathan Eovaldi,2020,48.33,52,7,8,20,9
543243,Sonny Gray,2020,56.0,72,26,4,23,11
543294,Kyle Hendricks,2020,81.33,64,8,10,26,12
543475,Jordan Lyles,2020,57.67,36,23,12,45,9
543548,Tommy Milone,2020,39.0,40,6,9,29,9
543548,Tommy Milone,2020,29.33,31,4,5,13,6
543548,Tommy Milone,2020,9.67,9,2,4,16,3
543606,Jake Odorizzi,2020,13.67,12,3,4,10,4
543699,Tanner Roark,2020,47.67,41,23,14,36,11
544931,Stephen Strasburg,2020,5.0,2,1,1,6,2
545333,Trevor Bauer,2020,73.0,100,17,9,14,11
547942,Kwang Hyun Kim,2020,39.0,24,12,3,7,7
547943,Hyun Jin Ryu,2020,67.0,72,17,6,20,12
548389,Ross Stripling,2020,49.33,40,18,13,32,9
548389,Ross Stripling,2020,33.67,27,11,12,21,7
548389,Ross Stripling,2020,15.67,13,7,1,11,2
552640,Andrew Kittredge,2020,8.0,3,2,0,2,1
554430,Zack Wheeler,2020,71.0,53,16,3,23,11
570632,José Ureña,2020,23.33,15,13,4,14,5
571510,Matthew Boyd,2020,60.33,60,22,15,45,12
571578,Patrick Corbin,2020,65.67,60,18,10,34,11
571666,Mike Fiers,2020,59.0,37,16,9,30,11
571676,Seth Frankoff,2020,2.67,0,2,0,5,0
571760,Andrew Heaney,2020,66.67,70,19,9,33,12
571901,Aaron Loup,2020,25.0,22,4,3,7,0
571927,Steven Matz,2020,30.67,36,10,14,33,6
572020,James Paxton,2020,20.33,26,7,4,15,5
