date,id,home,away,hs,as,ot,hsog,asog,hpp,app
2021-10-12,2021020001,Tampa Bay Lightning,Pittsburgh Penguins,2,6,0,28.0,35.0,,
2021-10-12,2021020002,Vegas Golden Knights,Seattle Kraken,4,3,0,30.0,31.0,,
2021-10-13,2021020003,Toronto Maple Leafs,Montréal Canadiens,2,1,0,30.0,32.0,,
2021-10-13,2021020004,Washington Capitals,New York Rangers,5,1,0,27.0,24.0,,
2021-10-13,2021020005,Colorado Avalanche,Chicago Blackhawks,4,2,0,36.0,34.0,,
2021-10-13,2021020006,Edmonton Oilers,Vancouver Canucks,3,2,1,34.0,38.0,,
2021-10-13,2021020015,Anaheim Ducks,Winnipeg Jets,4,1,0,22.0,34.0,,
2021-10-14,2021020007,Buffalo Sabres,Montréal Canadiens,5,1,0,36.0,31.0,,
2021-10-14,2021020008,Ottawa Senators,Toronto Maple Leafs,3,2,0,36.0,,,
2021-10-14,2021020009,Detroit Red Wings,Tampa Bay Lightning,6,7,1,,48.0,,
2021-10-14,2021020010,Florida Panthers,Pittsburgh Penguins,5,4,1,39.0,47.0,,
2021-10-14,2021020011,New York Rangers,Dallas Stars,2,3,1,33.0,,,
2021-10-14,2021020012,Carolina Hurricanes,New York Islanders,6,3,0,41.0,28.0,,
2021-10-14,2021020013,Columbus Blue Jackets,Arizona Coyotes,8,2,0,26.0,,,
2021-10-14,2021020014,Nashville Predators,Seattle Kraken,3,4,0,30.0,26.0,,
2021-10-14,2021020016,Los Angeles Kings,Vegas Golden Knights,6,2,0,47.0,,,
2021-10-15,2021020017,New Jersey Devils,Chicago Blackhawks,4,3,1,29.0,27.0,,
2021-10-15,2021020018,Philadelphia Flyers,Vancouver Canucks,4,5,1,35.0,,,
2021-10-15,2021020019,Anaheim Ducks,Minnesota Wild,1,2,0,,43.0,,
2021-10-16,2021020020,Boston Bruins,Dallas Stars,3,1,0,,,,
2021-10-16,2021020021,Buffalo Sabres,Arizona Coyotes,2,1,1,33.0,21.0,,
2021-10-16,2021020022,Toronto Maple Leafs,Ottawa Senators,3,1,0,,21.0,,
2021-10-16,2021020023,Montréal Canadiens,New York Rangers,1,3,0,32.0,24.0,,
2021-10-16,2021020024,Detroit Red Wings,Vancouver Canucks,3,1,0,,,,
2021-10-16,2021020025,Florida Panthers,New York Islanders,5,1,0,,30.0,,
2021-10-16,2021020026,Pittsburgh Penguins,Chicago Blackhawks,5,2,0,26.0,20.0,,
2021-10-16,2021020027,Washington Capitals,Tampa Bay Lightning,1,2,1,33.0,24.0,,
2021-10-16,2021020028,Columbus Blue Jackets,Seattle Kraken,2,1,1,25.0,20.0,,
2021-10-16,2021020029,Nashville Predators,Carolina Hurricanes,2,3,0,,,,
2021-10-16,2021020030,Colorado Avalanche,St. Louis Blues,3,5,0,32.0,,,
2021-10-16,2021020031,Edmonton Oilers,Calgary Flames,5,2,0,,,,
2021-10-16,2021020032,Los Angeles Kings,Minnesota Wild,2,3,0,31.0,,,
2021-10-16,2021020033,San Jose Sharks,Winnipeg Jets,4,3,0,31.0,23.0,,
2021-10-17,2021020034,Ottawa Senators,Dallas Stars,3,2,0,,34.0,,
2021-10-18,2021020035,Toronto Maple Leafs,New York Rangers,1,2,1,41.0,,,
2021-10-18,2021020036,Philadelphia Flyers,Seattle Kraken,6,1,0,27.0,24.0,,
2021-10-18,2021020037,Calgary Flames,Anaheim Ducks,2,3,1,,27.0,,
2021-10-18,2021020038,Arizona Coyotes,St. Louis Blues,4,7,0,26.0,33.0,,
2021-10-19,2021020039,Buffalo Sabres,Vancouver Canucks,5,2,0,43.0,,,
2021-10-19,2021020040,Montréal Canadiens,San Jose Sharks,0,5,0,21.0,25.0,,
2021-10-19,2021020041,Detroit Red Wings,Columbus Blue Jackets,4,1,0,45.0,23.0,,
2021-10-19,2021020042,Tampa Bay Lightning,Florida Panthers,1,4,0,31.0,32.0,,
2021-10-19,2021020043,New Jersey Devils,Seattle Kraken,4,2,0,33.0,29.0,,
2021-10-19,2021020044,Pittsburgh Penguins,Dallas Stars,1,2,1,28.0,,,
2021-10-19,2021020045,Washington Capitals,Colorado Avalanche,6,3,0,40.0,,,
2021-10-19,2021020046,Chicago Blackhawks,New York Islanders,1,4,0,,29.0,,
2021-10-19,2021020047,Nashville Predators,Los Angeles Kings,2,1,0,31.0,,,
2021-10-19,2021020048,Minnesota Wild,Winnipeg Jets,6,5,1,44.0,,,
