id,name,season,ip,so,bb,hr,er,gs
596295,Austin Gomber,2023,139.0,87,43,26,85,27
598264,Matt Barnes,2023,21.33,20,10,2,13,1
601713,Nick Pivetta,2023,142.67,183,50,23,64,16
605135,Chris Bassitt,2023,200.0,186,59,28,80,33
605154,John Brebbia,2023,38.33,47,14,6,17,10
605182,Mike Clevinger,2023,131.33,110,40,16,55,24
605200,Zach Davies,2023,82.33,72,39,10,64,18
605242,Michael Fulmer,2023,57.0,65,28,7,28,1
605288,Adrian Houser,2023,111.33,96,34,13,51,21
605397,Joe Musgrove,2023,97.33,97,21,10,33,17
605400,Aaron Nola,2023,193.67,202,45,32,96,32
605463,Tayler Scott,2023,17.67,17,10,3,11,2
605463,Tayler Scott,2023,3.67,2,4,1,2,1
605463,Tayler Scott,2023,6.0,8,4,0,6,0
605463,Tayler Scott,2023,8.0,7,2,2,3,1
605483,Blake Snell,2023,180.0,234,99,15,45,32
605488,Jeffrey Springs,2023,16.0,24,4,1,1,3
605513,Spencer Turnbull,2023,31.0,24,15,5,25,7
605540,Brandon Woodruff,2023,67.0,74,15,9,17,11
607067,Colin Rea,2023,124.67,110,38,23,63,22
607074,Carlos Rodón,2023,64.33,64,28,15,49,14
607192,Tyler Glasnow,2023,120.0,162,37,13,47,21
607259,Nick Martinez,2023,110.33,106,40,12,42,9
607455,Anthony Banda,2023,7.0,6,5,1,5,0
607536,Kyle Freeland,2023,155.67,94,42,29,87,29
607625,Seth Lugo,2023,146.33,140,36,19,58,26
607644,John Means,2023,23.67,10,4,4,7,4
607968,Drew Rucinski,2023,18.0,6,14,5,18,4
608331,Max Fried,2023,77.67,80,18,7,22,14
608334,Carson Fulmer,2023,10.0,6,4,1,3,1
608337,Lucas Giolito,2023,184.33,204,73,41,100,33
608337,Lucas Giolito,2023,32.67,34,15,10,25,6
608337,Lucas Giolito,2023,30.67,39,16,11,24,6
608337,Lucas Giolito,2023,121.0,131,42,20,51,21
608344,Cole Irvin,2023,77.33,68,21,11,38,12
608379,Michael Wacha,2023,134.33,124,43,15,48,24
608566,Germán Márquez,2023,20.0,17,3,4,11,4
608638,JT Chargois,2023,42.33,35,18,3,17,5
608718,Brent Suter,2023,69.33,55,25,3,26,2
614179,José Ruiz,2023,44.33,39,21,10,29,1
614179,José Ruiz,2023,40.67,36,17,7,20,1
614179,José Ruiz,2023,3.67,3,4,3,9,0
