id,name,season,ip,so,bb,hr,er,gs
425794,Adam Wainwright,2021,206.33,174,50,21,70,32
425844,Zack Greinke,2021,171.0,120,36,30,79,29
429722,Ervin Santana,2021,65.33,52,22,9,34,2
431148,Scott Kazmir,2021,11.33,10,6,3,8,4
445213,Brandon Kintzler,2021,29.67,22,8,7,21,1
445926,Jesse Chavez,2021,33.67,36,11,0,8,4
446321,Ross Detwiler,2021,52.33,62,20,10,27,5
446321,Ross Detwiler,2021,7.0,6,5,2,2,0
446321,Ross Detwiler,2021,45.33,56,15,8,25,5
446372,Corey Kluber,2021,80.0,82,33,8,34,16
448179,Rich Hill,2021,158.67,150,55,21,68,31
448179,Rich Hill,2021,63.33,59,19,7,27,12
448179,Rich Hill,2021,95.33,91,36,14,41,19
448855,Junior Guerra,2021,65.33,61,46,6,44,1
450203,Charlie Morton,2021,185.67,216,58,16,69,33
452027,Andrew Albers,2021,19.0,12,9,9,16,3
452657,Jon Lester,2021,141.33,91,55,25,74,28
452657,Jon Lester,2021,75.33,51,29,14,42,16
452657,Jon Lester,2021,66.0,40,26,11,32,12
453281,Wade LeBlanc,2021,49.0,29,17,8,24,9
453281,Wade LeBlanc,2021,6.67,6,1,1,7,1
453281,Wade LeBlanc,2021,42.33,23,16,7,17,8
453286,Max Scherzer,2021,179.33,236,36,23,49,30
453286,Max Scherzer,2021,68.33,89,8,5,15,11
453286,Max Scherzer,2021,111.0,147,28,18,34,19
453562,Jake Arrieta,2021,98.67,83,44,24,81,24
453562,Jake Arrieta,2021,86.33,74,39,21,66,20
453562,Jake Arrieta,2021,12.33,9,5,3,15,4
456034,David Price,2021,73.67,58,26,8,33,11
456501,Johnny Cueto,2021,114.67,98,30,15,52,21
456713,Matt Bush,2021,4.0,5,1,3,3,0
457918,J.A. Happ,2021,152.33,122,48,30,98,30
457918,J.A. Happ,2021,54.0,45,17,9,24,11
457918,J.A. Happ,2021,98.33,77,31,21,74,19
458681,Lance Lynn,2021,157.0,176,45,18,47,28
468504,Jhoulys Chacín,2021,64.33,47,28,8,31,1
471911,Carlos Carrasco,2021,53.67,50,18,12,36,12
474463,Brett Anderson,2021,96.0,58,28,11,45,24
475479,David Phelps,2021,10.33,15,4,0,1,1
476594,Robert Stock,2021,9.0,9,9,3,8,3
476594,Robert Stock,2021,4.0,3,6,1,5,1
476594,Robert Stock,2021,5.0,6,3,2,3,2
476595,Lucas Luetge,2021,72.33,78,15,6,22,1
477132,Clayton Kershaw,2021,121.67,144,21,15,48,22
488984,Tommy Hunter,2021,8.0,6,3,0,0,1
489119,Wade Miley,2021,163.0,125,50,17,61,28
489334,Craig Stammen,2021,88.33,83,13,13,30,4
500779,Jose Quintana,2021,63.0,85,35,12,45,10
500779,Jose Quintana,2021,53.33,73,29,9,40,10
