date,id,home,away,hs,as,type,hfg,afg,h3,a3,hreb,areb,hto,ato,spread,total,hml,aml
2024-10-18,401717019,Orlando Magic,Philadelphia 76ers,114,99,,,,,,,,,,,,,
2024-10-18,401717020,Washington Wizards,New York Knicks,118,117,,,,,,,,,,,,,
2024-10-18,401717021,Brooklyn Nets,Toronto Raptors,112,116,,,,,,,,,,,,,
2024-10-19,401717022,Chicago Bulls,Cleveland Cavaliers,139,137,,,,,,,,,,,,,
2024-10-19,401717023,Memphis Grizzlies,Miami Heat,109,114,,,,,,,,,,,,,
2024-10-19,401717025,Portland Trail Blazers,Utah Jazz,124,86,,,,,,,,,,,,,
2024-10-19,401717026,Golden State Warriors,Los Angeles Lakers,132,74,,,,,,,,,,,,,
2024-10-22,401704627,Boston Celtics,New York Knicks,132,109,,,,,,,,,,,,,
2024-10-23,401704628,Los Angeles Lakers,Minnesota Timberwolves,110,103,,,,,,,,,,,,,
2024-10-23,401704629,Detroit Pistons,Indiana Pacers,109,115,,,,,,,,,,,,,
2024-10-23,401704630,Atlanta Hawks,Brooklyn Nets,120,116,,,,,,,,,,,,,
2024-10-23,401704631,Miami Heat,Orlando Magic,97,116,,,,,,,,,,,,,
2024-10-23,401704632,Philadelphia 76ers,Milwaukee Bucks,109,124,,,,,,,,,,,,,
2024-10-23,401704633,Toronto Raptors,Cleveland Cavaliers,106,136,,,,,,,,,,,,,
2024-10-24,401704634,Houston Rockets,Charlotte Hornets,105,110,,,,,,,,,,,,,
2024-10-24,401704635,New Orleans Pelicans,Chicago Bulls,123,111,,,,,,,,,,,,,
2024-10-24,401704636,Utah Jazz,Memphis Grizzlies,124,126,,,,,,,,,,,,,
2024-10-24,401704637,LA Clippers,Phoenix Suns,113,116,,,,,,,,,,,,,
2024-10-24,401704638,Portland Trail Blazers,Golden State Warriors,104,140,,,,,,,,,,,,,
2024-10-24,401704639,Washington Wizards,Boston Celtics,102,122,,,,,,,,,,,,,
2024-10-24,401704640,Dallas Mavericks,San Antonio Spurs,120,109,,,,,,,,,,,,,
2024-10-25,401704641,Denver Nuggets,Oklahoma City Thunder,87,102,,,,,,,,,,,,,
2024-10-25,401704642,Sacramento Kings,Minnesota Timberwolves,115,117,,,,,,,,,,,,,
