date,id,home,away,hs,as,hsp,hsp_name,asp,asp_name,dh,venue
2024-03-20,745444,San Diego Padres,Los Angeles Dodgers,2,5,506433,Yu Darvish,607192,Tyler Glasnow,1,5150
2024-03-21,746175,Los Angeles Dodgers,San Diego Padres,11,15,808967,Yoshinobu Yamamoto,605397,Joe Musgrove,1,5150
2024-03-28,747060,Baltimore Orioles,Los Angeles Angels,11,3,669203,Corbin Burnes,663776,Patrick Sandoval,1,2
2024-03-28,746737,Cincinnati Reds,Washington Nationals,8,2,593423,Frankie Montas,680686,Josiah Gray,1,2602
2024-03-28,745445,San Diego Padres,San Francisco Giants,6,4,506433,Yu Darvish,657277,Logan Webb,1,2680
2024-03-28,746165,Los Angeles Dodgers,St. Louis Cardinals,7,1,607192,Tyler Glasnow,571945,Miles Mikolas,1,22
2024-03-28,745116,Tampa Bay Rays,Toronto Blue Jays,2,8,621107,Zach Eflin,621244,José Berríos,1,12
2024-03-28,746335,Kansas City Royals,Minnesota Twins,1,4,666142,Cole Ragans,641154,Pablo López,1,7
2024-03-28,746821,Chicago White Sox,Detroit Tigers,0,1,676979,Garrett Crochet,669373,Tarik Skubal,1,4
2024-03-28,746089,Miami Marlins,Pittsburgh Pirates,5,6,666200,Jesús Luzardo,656605,Mitch Keller,1,4169
2024-03-28,746418,Houston Astros,New York Yankees,4,5,664285,Framber Valdez,641482,Nestor Cortes,1,2392
2024-03-28,745039,Texas Rangers,Chicago Cubs,4,3,543135,Nathan Eovaldi,657006,Justin Steele,1,5325
2024-03-28,745687,Oakland Athletics,Cleveland Guardians,0,8,622072,Alex Wood,669456,Shane Bieber,1,10
2024-03-28,747224,Arizona Diamondbacks,Colorado Rockies,16,1,668678,Zac Gallen,607536,Kyle Freeland,1,15
2024-03-28,745283,Seattle Mariners,Boston Red Sox,4,6,622491,Luis Castillo,678394,Brayan Bello,1,680
2024-03-29,745848,New York Mets,Milwaukee Brewers,1,3,500779,Jose Quintana,642547,Freddy Peralta,1,3289
2024-03-29,745604,Philadelphia Phillies,Atlanta Braves,3,9,554430,Zack Wheeler,675911,Spencer Strider,1,2681
2024-03-29,745117,Tampa Bay Rays,Toronto Blue Jays,8,2,650644,Aaron Civale,605135,Chris Bassitt,1,12
2024-03-29,746091,Miami Marlins,Pittsburgh Pirates,2,7,640462,A.J. Puk,527048,Martín Pérez,1,4169
2024-03-29,746412,Houston Astros,New York Yankees,1,7,664299,Cristian Javier,607074,Carlos Rodón,1,2392
2024-03-29,747223,Arizona Diamondbacks,Colorado Rockies,7,3,518876,Merrill Kelly,615698,Cal Quantrill,1,15
2024-03-29,745682,Oakland Athletics,Cleveland Guardians,4,6,548389,Ross Stripling,671106,Logan Allen,1,10
2024-03-29,745276,Seattle Mariners,Boston Red Sox,1,0,669923,George Kirby,601713,Nick Pivetta,1,680
2024-03-29,745435,San Diego Padres,San Francisco Giants,3,8,605397,Joe Musgrove,690986,Kyle Harrison,1,2680
2024-03-29,746167,Los Angeles Dodgers,St. Louis Cardinals,6,3,676272,Bobby Miller,668868,Zack Thompson,1,22
2024-03-30,745850,New York Mets,Milwaukee Brewers,6,7,622663,Luis Severino,669084,DL Hall,1,3289
2024-03-30,746818,Chicago White Sox,Detroit Tigers,6,7,647336,Michael Soroka,628317,Kenta Maeda,1,4
2024-03-30,747063,Baltimore Orioles,Los Angeles Angels,13,4,680570,Grayson Rodriguez,656288,Griffin Canning,1,2
2024-03-30,745599,Philadelphia Phillies,Atlanta Braves,4,12,605400,Aaron Nola,608331,Max Fried,1,2681
2024-03-30,745684,Oakland Athletics,Cleveland Guardians,3,12,676664,JP Sears,676440,Tanner Bibee,1,10
2024-03-30,746736,Cincinnati Reds,Washington Nationals,6,7,668881,Hunter Greene,571578,Patrick Corbin,1,2602
2024-03-30,745119,Tampa Bay Rays,Toronto Blue Jays,5,1,641793,Zack Littell,579328,Yusei Kikuchi,1,12
2024-03-30,746333,Kansas City Royals,Minnesota Twins,1,5,607625,Seth Lugo,657746,Joe Ryan,1,7
2024-03-30,746087,Miami Marlins,Pittsburgh Pirates,3,9,677960,Ryan Weathers,683003,Jared Jones,1,4169
2024-03-30,745037,Texas Rangers,Chicago Cubs,11,2,674003,Cody Bradford,543294,Kyle Hendricks,1,5325
2024-03-30,745436,San Diego Padres,San Francisco Giants,6,9,656302,Dylan Cease,663855,Jordan Hicks,1,2680
