date,id,home,away,hs,as,type,hfg,afg,h3,a3,hreb,areb,hto,ato,spread,total,hml,aml
2022-10-18,401468016,Boston Celtics,Philadelphia 76ers,126,117,,,,,,,,,,,,,
2022-10-19,401468017,Golden State Warriors,Los Angeles Lakers,123,109,,,,,,,,,,,,,
2022-10-19,401468018,Detroit Pistons,Orlando Magic,113,109,,,,,,,,,,,,,
2022-10-19,401468019,Indiana Pacers,Washington Wizards,107,114,,,,,,,,,,,,,
2022-10-19,401468020,Atlanta Hawks,Houston Rockets,117,107,,,,,,,,,,,,,
2022-10-19,401468021,Brooklyn Nets,New Orleans Pelicans,108,130,,,,,,,,,,,,,
2022-10-19,401468022,Miami Heat,Chicago Bulls,108,116,,,,,,,,,,,,,
2022-10-19,401468023,Toronto Raptors,Cleveland Cavaliers,108,105,,,,,,,,,,,,,
2022-10-19,401468024,Memphis Grizzlies,New York Knicks,115,112,,,,,,,,,,,,,
2022-10-20,401468025,Minnesota Timberwolves,Oklahoma City Thunder,115,108,,,,,,,,,,,,,
2022-10-20,401468026,San Antonio Spurs,Charlotte Hornets,102,129,,,,,,,,,,,,,
2022-10-20,401468027,Utah Jazz,Denver Nuggets,123,102,,,,,,,,,,,,,
2022-10-20,401468028,Phoenix Suns,Dallas Mavericks,107,105,,,,,,,,,,,,,
2022-10-20,401468029,Sacramento Kings,Portland Trail Blazers,108,115,,,,,,,,,,,,,
2022-10-20,401468170,Philadelphia 76ers,Milwaukee Bucks,88,90,,,,,,,,,,,,,
2022-10-21,401468171,Los Angeles Lakers,LA Clippers,97,103,,,,,,,,,,,,,
2022-10-21,401468172,Charlotte Hornets,New Orleans Pelicans,112,124,,,,,,,,,,,,,
2022-10-21,401468173,Indiana Pacers,San Antonio Spurs,134,137,,,,,,,,,,,,,
2022-10-21,401468174,Washington Wizards,Chicago Bulls,102,100,,,,,,,,,,,,,
2022-10-21,401468175,Atlanta Hawks,Orlando Magic,108,98,,,,,,,,,,,,,
2022-10-21,401468176,Brooklyn Nets,Toronto Raptors,109,105,,,,,,,,,,,,,
2022-10-21,401468177,Miami Heat,Boston Celtics,104,111,,,,,,,,,,,,,
