date,id,home,away,hs,as,ot,hsog,asog,hpp,app
2023-10-10,2023020001,Tampa Bay Lightning,Nashville Predators,5,3,0,34.0,31.0,,
2023-10-10,2023020002,Pittsburgh Penguins,Chicago Blackhawks,2,4,0,41.0,36.0,,
2023-10-10,2023020003,Vegas Golden Knights,Seattle Kraken,4,1,0,28.0,33.0,,
2023-10-11,2023020004,Carolina Hurricanes,Ottawa Senators,5,3,0,42.0,30.0,,
2023-10-11,2023020005,Toronto Maple Leafs,Montréal Canadiens,6,5,1,42.0,24.0,,
2023-10-11,2023020006,Boston Bruins,Chicago Blackhawks,3,1,0,33.0,21.0,,
2023-10-11,2023020007,Calgary Flames,Winnipeg Jets,5,3,0,22.0,37.0,,
2023-10-11,2023020008,Los Angeles Kings,Colorado Avalanche,2,5,0,36.0,37.0,,
2023-10-11,2023020009,Vancouver Canucks,Edmonton Oilers,8,1,0,32.0,27.0,,
2023-10-12,2023020010,Buffalo Sabres,New York Rangers,1,5,0,25.0,31.0,,
2023-10-12,2023020011,Columbus Blue Jackets,Philadelphia Flyers,2,4,0,33.0,37.0,,
2023-10-12,2023020012,New Jersey Devils,Detroit Red Wings,4,3,0,,35.0,,
2023-10-12,2023020013,Dallas Stars,St. Louis Blues,2,1,1,34.0,24.0,,
2023-10-12,2023020014,Minnesota Wild,Florida Panthers,2,0,0,21.0,41.0,,
2023-10-12,2023020015,Nashville Predators,Seattle Kraken,3,0,0,,,,
2023-10-12,2023020016,San Jose Sharks,Vegas Golden Knights,1,4,0,23.0,32.0,,
2023-10-13,2023020017,New Jersey Devils,Arizona Coyotes,3,4,1,36.0,33.0,,
2023-10-13,2023020018,Washington Capitals,Pittsburgh Penguins,0,4,0,19.0,35.0,,
2023-10-14,2023020019,Ottawa Senators,Philadelphia Flyers,5,2,0,31.0,21.0,,
2023-10-14,2023020020,Winnipeg Jets,Florida Panthers,6,4,0,35.0,33.0,,
2023-10-14,2023020021,Boston Bruins,Nashville Predators,3,2,0,30.0,36.0,,
2023-10-14,2023020022,Columbus Blue Jackets,New York Rangers,5,3,0,,42.0,,
2023-10-14,2023020023,Detroit Red Wings,Tampa Bay Lightning,6,4,0,42.0,25.0,,
2023-10-14,2023020024,Montréal Canadiens,Chicago Blackhawks,3,2,0,36.0,30.0,,
2023-10-14,2023020025,Pittsburgh Penguins,Calgary Flames,5,2,0,29.0,36.0,,
2023-10-14,2023020026,Toronto Maple Leafs,Minnesota Wild,7,4,0,33.0,,,
2023-10-14,2023020027,New York Islanders,Buffalo Sabres,3,2,0,29.0,28.0,,
2023-10-14,2023020028,St. Louis Blues,Seattle Kraken,2,1,1,25.0,31.0,,
2023-10-14,2023020029,Edmonton Oilers,Vancouver Canucks,3,4,0,40.0,16.0,,
2023-10-14,2023020030,San Jose Sharks,Colorado Avalanche,1,2,1,21.0,,,
2023-10-14,2023020031,Vegas Golden Knights,Anaheim Ducks,4,1,0,38.0,,,
2023-10-14,2023020032,Los Angeles Kings,Carolina Hurricanes,5,6,1,30.0,19.0,,
2023-10-15,2023020033,Ottawa Senators,Tampa Bay Lightning,5,2,0,38.0,24.0,,
2023-10-15,2023020034,Anaheim Ducks,Carolina Hurricanes,6,3,0,25.0,35.0,,
2023-10-16,2023020035,Columbus Blue Jackets,Detroit Red Wings,0,4,0,23.0,28.0,,
2023-10-16,2023020036,New Jersey Devils,Florida Panthers,3,4,0,34.0,30.0,,
2023-10-16,2023020037,New York Rangers,Arizona Coyotes,2,1,0,28.0,27.0,,
2023-10-16,2023020038,Toronto Maple Leafs,Chicago Blackhawks,1,4,0,36.0,31.0,,
2023-10-16,2023020039,Washington Capitals,Calgary Flames,3,2,1,23.0,40.0,,
2023-10-17,2023020040,Buffalo Sabres,Tampa Bay Lightning,3,2,1,31.0,25.0,,
2023-10-17,2023020041,Montréal Canadiens,Minnesota Wild,2,5,0,28.0,35.0,,
2023-10-17,2023020042,Philadelphia Flyers,Vancouver Canucks,2,0,0,42.0,26.0,,
2023-10-17,2023020043,New York Islanders,Arizona Coyotes,1,0,0,34.0,14.0,,
