date,id,home,away,hs,as,hsp,hsp_name,asp,asp_name,dh,venue
2023-03-30,718780,Washington Nationals,Atlanta Braves,2,7,571578,Patrick Corbin,608331,Max Fried,1,3309
2023-03-30,718781,New York Yankees,San Francisco Giants,5,0,543037,Gerrit Cole,657277,Logan Webb,1,3313
2023-03-30,718782,Boston Red Sox,Baltimore Orioles,9,10,446372,Corey Kluber,502043,Kyle Gibson,1,3
2023-03-30,718777,Chicago Cubs,Milwaukee Brewers,4,0,573186,Marcus Stroman,669203,Corbin Burnes,1,17
2023-03-30,718776,Tampa Bay Rays,Detroit Tigers,4,0,663556,Shane McClanahan,593958,Eduardo Rodriguez,1,12
2023-03-30,718779,Texas Rangers,Philadelphia Phillies,11,7,594798,Jacob deGrom,605400,Aaron Nola,1,5325
2023-03-30,718773,Cincinnati Reds,Pittsburgh Pirates,4,5,668881,Hunter Greene,656605,Mitch Keller,1,2602
2023-03-30,718772,St. Louis Cardinals,Toronto Blue Jays,9,10,571945,Miles Mikolas,666201,Alek Manoah,1,2889
2023-03-30,718775,Kansas City Royals,Minnesota Twins,0,2,425844,Zack Greinke,641154,Pablo López,1,7
2023-03-30,718774,Miami Marlins,New York Mets,3,5,645261,Sandy Alcantara,453286,Max Scherzer,1,4169
2023-03-30,718768,Houston Astros,Chicago White Sox,2,3,664285,Framber Valdez,656302,Dylan Cease,1,2392
2023-03-30,718778,San Diego Padres,Colorado Rockies,2,7,605483,Blake Snell,608566,Germán Márquez,1,2680
2023-03-30,718769,Oakland Athletics,Los Angeles Angels,2,1,666205,Kyle Muller,660271,Shohei Ohtani,1,10
2023-03-30,718770,Los Angeles Dodgers,Arizona Diamondbacks,8,2,628711,Julio Urías,668678,Zac Gallen,1,22
2023-03-30,718767,Seattle Mariners,Cleveland Guardians,3,0,622491,Luis Castillo,669456,Shane Bieber,1,680
2023-03-31,718771,Miami Marlins,New York Mets,2,1,666200,Jesús Luzardo,656849,David Peterson,1,4169
2023-03-31,718764,Houston Astros,Chicago White Sox,6,3,664299,Cristian Javier,458681,Lance Lynn,1,2392
2023-03-31,718766,San Diego Padres,Colorado Rockies,1,4,607259,Nick Martinez,607536,Kyle Freeland,1,2680
2023-03-31,718765,Los Angeles Dodgers,Arizona Diamondbacks,1,2,669160,Dustin May,518876,Merrill Kelly,1,22
2023-03-31,718763,Seattle Mariners,Cleveland Guardians,4,9,592662,Robbie Ray,683769,Hunter Gaddis,1,680
2023-04-01,718760,Houston Astros,Chicago White Sox,6,4,664353,José Urquidy,608337,Lucas Giolito,1,2392
2023-04-01,718759,St. Louis Cardinals,Toronto Blue Jays,4,1,656427,Jack Flaherty,592332,Kevin Gausman,1,2889
2023-04-01,718758,Chicago Cubs,Milwaukee Brewers,1,3,657006,Justin Steele,605540,Brandon Woodruff,1,17
2023-04-01,718752,Texas Rangers,Philadelphia Phillies,16,3,543135,Nathan Eovaldi,554430,Zack Wheeler,1,5325
2023-04-01,718753,Washington Nationals,Atlanta Braves,1,7,680686,Josiah Gray,675911,Spencer Strider,1,3309
2023-04-01,718762,New York Yankees,San Francisco Giants,5,7,657376,Clarke Schmidt,502171,Alex Cobb,1,3313
2023-04-01,718757,Oakland Athletics,Los Angeles Angels,1,13,660261,Shintaro Fujinami,663776,Patrick Sandoval,1,10
2023-04-01,718761,Boston Red Sox,Baltimore Orioles,9,8,519242,Chris Sale,665152,Dean Kremer,1,3
2023-04-01,718756,Cincinnati Reds,Pittsburgh Pirates,6,2,666157,Nick Lodolo,448179,Rich Hill,1,2602
2023-04-01,718754,Tampa Bay Rays,Detroit Tigers,12,2,621107,Zach Eflin,605513,Spencer Turnbull,1,12
2023-04-01,718751,Kansas City Royals,Minnesota Twins,0,2,543475,Jordan Lyles,543243,Sonny Gray,1,7
2023-04-01,718755,Miami Marlins,New York Mets,2,6,665795,Edward Cabrera,656731,Tylor Megill,1,4169
2023-04-01,718750,San Diego Padres,Colorado Rockies,8,4,608379,Michael Wacha,570632,José Ureña,1,2680
2023-04-01,718749,Los Angeles Dodgers,Arizona Diamondbacks,10,1,477132,Clayton Kershaw,518516,Madison Bumgarner,1,22
2023-04-01,718746,Seattle Mariners,Cleveland Guardians,0,2,669302,Logan Gilbert,650644,Aaron Civale,1,680
2023-04-02,718742,Tampa Bay Rays,Detroit Tigers,5,1,605488,Jeffrey Springs,666214,Joey Wentz,1,12
2023-04-02,718748,Boston Red Sox,Baltimore Orioles,9,5,656557,Tanner Houck,608344,Cole Irvin,1,3
2023-04-02,718743,Washington Nationals,Atlanta Braves,4,1,669022,MacKenzie Gore,694363,Jared Shuster,1,3309
2023-04-02,718747,New York Yankees,San Francisco Giants,6,0,666745,Jhony Brito,548389,Ross Stripling,1,3313
2023-04-02,718744,Cincinnati Reds,Pittsburgh Pirates,3,1,668933,Graham Ashcraft,592826,Vince Velasquez,1,2602
2023-04-02,718741,Miami Marlins,New York Mets,1,5,669432,Trevor Rogers,673540,Kodai Senga,1,4169
2023-04-02,718745,Kansas City Royals,Minnesota Twins,4,7,641745,Brad Keller,657746,Joe Ryan,1,7
2023-04-02,718740,Houston Astros,Chicago White Sox,3,6,677651,Luis Garcia,605182,Mike Clevinger,1,2392
2023-04-02,718737,St. Louis Cardinals,Toronto Blue Jays,9,4,656756,Jordan Montgomery,605135,Chris Bassitt,1,2889
2023-04-02,718738,Chicago Cubs,Milwaukee Brewers,5,9,592791,Jameson Taillon,641778,Eric Lauer,1,17
2023-04-02,718734,Oakland Athletics,Los Angeles Angels,0,6,686610,Ken Waldichuk,542881,Tyler Anderson,1,10
2023-04-02,718736,Los Angeles Dodgers,Arizona Diamondbacks,1,2,592789,Noah Syndergaard,605200,Zach Davies,1,22
2023-04-02,718733,San Diego Padres,Colorado Rockies,3,1,607625,Seth Lugo,596295,Austin Gomber,1,2680
2023-04-02,718735,Seattle Mariners,Cleveland Guardians,5,6,594835,Marco Gonzales,615698,Cal Quantrill,1,680
2023-04-02,718739,Texas Rangers,Philadelphia Phillies,2,1,527048,Martín Pérez,663559,Bailey Falter,1,5325
2023-04-03,718731,Milwaukee Brewers,New York Mets,10,0,642547,Freddy Peralta,471911,Carlos Carrasco,1,32
2023-04-03,718730,Chicago White Sox,San Francisco Giants,3,12,656629,Michael Kopech,543101,Anthony DeSclafani,1,4
2023-04-03,718728,Cincinnati Reds,Chicago Cubs,7,6,656818,Connor Overton,592767,Drew Smyly,1,2602
2023-04-03,718729,Miami Marlins,Minnesota Twins,1,11,456501,Johnny Cueto,641816,Tyler Mahle,1,4169
2023-04-03,718732,Washington Nationals,Tampa Bay Rays,2,6,592866,Trevor Williams,656876,Drew Rasmussen,1,3309
2023-04-03,718725,New York Yankees,Philadelphia Phillies,8,1,641482,Nestor Cortes,592836,Taijuan Walker,1,3313
2023-04-03,718724,Boston Red Sox,Pittsburgh Pirates,6,7,676710,Kutter Crawford,670912,Johan Oviedo,1,3
2023-04-03,718719,Kansas City Royals,Toronto Blue Jays,9,5,663903,Brady Singer,621244,José Berríos,1,7
2023-04-03,718727,St. Louis Cardinals,Atlanta Braves,4,8,663765,Jake Woodford,450203,Charlie Morton,1,2889
2023-04-03,718726,Texas Rangers,Baltimore Orioles,0,2,592351,Jon Gray,680694,Kyle Bradish,1,5325
2023-04-03,718723,Houston Astros,Detroit Tigers,6,7,686613,Hunter Brown,571510,Matthew Boyd,1,2392
2023-04-03,718721,Oakland Athletics,Cleveland Guardians,11,12,621076,James Kaprielian,668676,Zach Plesac,1,10
