date,id,home,away,hs,as,ot,hsog,asog,hpp,app
2022-10-07,2022020001,Nashville Predators,San Jose Sharks,4,1,0,32.0,31.0,,
2022-10-08,2022020002,San Jose Sharks,Nashville Predators,2,3,0,33.0,18.0,,
2022-10-11,2022020003,New York Rangers,Tampa Bay Lightning,3,1,0,39.0,26.0,,
2022-10-11,2022020004,Los Angeles Kings,Vegas Golden Knights,3,4,0,30.0,51.0,,
2022-10-12,2022020005,Washington Capitals,Boston Bruins,2,5,0,35.0,30.0,,
2022-10-12,2022020006,Carolina Hurricanes,Columbus Blue Jackets,4,1,0,43.0,32.0,,
2022-10-12,2022020007,Montréal Canadiens,Toronto Maple Leafs,4,3,0,23.0,32.0,,
2022-10-12,2022020008,Colorado Avalanche,Chicago Blackhawks,5,2,0,35.0,17.0,,
2022-10-12,2022020009,Anaheim Ducks,Seattle Kraken,5,4,1,27.0,48.0,,
2022-10-12,2022020010,Edmonton Oilers,Vancouver Canucks,5,3,0,25.0,36.0,,
2022-10-13,2022020011,Pittsburgh Penguins,Arizona Coyotes,6,2,0,53.0,28.0,,
2022-10-13,2022020012,Philadelphia Flyers,New Jersey Devils,5,2,0,25.0,37.0,,
2022-10-13,2022020013,Buffalo Sabres,Ottawa Senators,4,1,0,36.0,36.0,,
2022-10-13,2022020014,New York Islanders,Florida Panthers,1,3,0,33.0,29.0,,
2022-10-13,2022020015,Toronto Maple Leafs,Washington Capitals,3,2,0,39.0,26.0,,
2022-10-13,2022020016,Nashville Predators,Dallas Stars,1,4,0,32.0,29.0,,
2022-10-13,2022020017,Minnesota Wild,New York Rangers,3,7,0,36.0,35.0,,
2022-10-13,2022020018,Calgary Flames,Colorado Avalanche,5,3,0,27.0,25.0,,
2022-10-13,2022020019,Vegas Golden Knights,Chicago Blackhawks,1,0,0,37.0,27.0,,
2022-10-13,2022020020,Los Angeles Kings,Seattle Kraken,1,4,0,27.0,22.0,,
2022-10-14,2022020021,Columbus Blue Jackets,Tampa Bay Lightning,2,5,0,28.0,39.0,,
2022-10-14,2022020022,Detroit Red Wings,Montréal Canadiens,3,0,0,40.0,29.0,,
2022-10-14,2022020023,Winnipeg Jets,New York Rangers,4,1,0,34.0,41.0,,
2022-10-14,2022020024,San Jose Sharks,Carolina Hurricanes,1,2,0,19.0,35.0,,
2022-10-15,2022020025,Buffalo Sabres,Florida Panthers,3,4,0,27.0,37.0,,
2022-10-15,2022020026,Philadelphia Flyers,Vancouver Canucks,3,2,0,31.0,30.0,,
2022-10-15,2022020027,Boston Bruins,Arizona Coyotes,6,3,0,43.0,24.0,,
2022-10-15,2022020028,New Jersey Devils,Detroit Red Wings,2,5,0,39.0,22.0,,
2022-10-15,2022020029,Washington Capitals,Montréal Canadiens,3,1,0,29.0,22.0,,
2022-10-15,2022020030,Toronto Maple Leafs,Ottawa Senators,3,2,0,32.0,28.0,,
2022-10-15,2022020031,Pittsburgh Penguins,Tampa Bay Lightning,6,2,0,45.0,36.0,,
2022-10-15,2022020032,New York Islanders,Anaheim Ducks,7,1,0,38.0,23.0,,
2022-10-15,2022020033,St. Louis Blues,Columbus Blue Jackets,5,2,0,25.0,25.0,,
2022-10-15,2022020034,Minnesota Wild,Los Angeles Kings,6,7,0,35.0,34.0,,
2022-10-15,2022020035,Dallas Stars,Nashville Predators,5,1,0,22.0,30.0,,
2022-10-15,2022020036,Edmonton Oilers,Calgary Flames,3,4,0,29.0,42.0,,
