date,id,home,away,hs,as,ot,hsog,asog,hpp,app
2024-10-17,2024020071,Seattle Kraken,Philadelphia Flyers,6,4,0,29.0,25.0,,
2024-10-18,2024020072,Pittsburgh Penguins,Carolina Hurricanes,1,4,0,26.0,38.0,,
2024-10-18,2024020073,Winnipeg Jets,San Jose Sharks,8,3,0,36.0,,,
2024-10-18,2024020074,Colorado Avalanche,Anaheim Ducks,4,3,1,49.0,19.0,,
2024-10-19,2024020075,Ottawa Senators,Tampa Bay Lightning,5,4,0,28.0,29.0,,
2024-10-19,2024020076,Nashville Predators,Detroit Red Wings,2,5,0,39.0,24.0,,
2024-10-19,2024020077,Dallas Stars,Edmonton Oilers,4,1,0,24.0,31.0,,
2024-10-19,2024020078,Florida Panthers,Vegas Golden Knights,4,3,1,49.0,26.0,,
2024-10-19,2024020079,Toronto Maple Leafs,New York Rangers,1,4,0,35.0,29.0,,
2024-10-19,2024020080,New Jersey Devils,Washington Capitals,5,6,1,,37.0,,
2024-10-19,2024020081,New York Islanders,Montréal Canadiens,4,3,1,,24.0,,
2024-10-19,2024020082,Philadelphia Flyers,Vancouver Canucks,0,3,0,,32.0,,
2024-10-19,2024020083,Columbus Blue Jackets,Minnesota Wild,1,3,0,,,,
2024-10-19,2024020084,St. Louis Blues,Carolina Hurricanes,4,3,0,19.0,40.0,,
2024-10-19,2024020085,Chicago Blackhawks,Buffalo Sabres,2,4,0,37.0,22.0,,
2024-10-19,2024020086,Utah Hockey Club,Boston Bruins,2,1,1,32.0,22.0,,
2024-10-19,2024020087,Seattle Kraken,Calgary Flames,2,1,1,23.0,,,
2024-10-20,2024020088,Winnipeg Jets,Pittsburgh Penguins,6,3,0,37.0,42.0,,
2024-10-20,2024020089,San Jose Sharks,Colorado Avalanche,1,4,0,26.0,22.0,,
2024-10-20,2024020090,Anaheim Ducks,Los Angeles Kings,1,4,0,14.0,,,
2024-10-21,2024020091,Toronto Maple Leafs,Tampa Bay Lightning,5,2,0,29.0,34.0,,
2024-10-22,2024020092,Philadelphia Flyers,Washington Capitals,1,4,0,,29.0,,
2024-10-22,2024020093,Florida Panthers,Minnesota Wild,1,5,0,25.0,22.0,,
2024-10-22,2024020094,New Jersey Devils,Tampa Bay Lightning,5,8,0,,,,
2024-10-22,2024020095,Buffalo Sabres,Dallas Stars,4,2,0,25.0,30.0,,
2024-10-22,2024020096,Montréal Canadiens,New York Rangers,2,7,0,23.0,,,
2024-10-22,2024020097,Columbus Blue Jackets,Toronto Maple Leafs,6,2,0,,,,
2024-10-22,2024020098,New York Islanders,Detroit Red Wings,0,1,0,30.0,,,
2024-10-22,2024020099,St. Louis Blues,Winnipeg Jets,2,3,0,,,,
2024-10-22,2024020100,Chicago Blackhawks,Vancouver Canucks,3,6,0,34.0,30.0,,
2024-10-22,2024020101,Nashville Predators,Boston Bruins,4,0,0,42.0,33.0,,
2024-10-22,2024020102,Calgary Flames,Pittsburgh Penguins,4,3,1,25.0,38.0,,
2024-10-22,2024020103,Edmonton Oilers,Carolina Hurricanes,2,3,1,35.0,33.0,,
2024-10-22,2024020104,Utah Hockey Club,Ottawa Senators,0,4,0,31.0,22.0,,
2024-10-22,2024020105,Anaheim Ducks,San Jose Sharks,3,1,0,,,,
2024-10-22,2024020106,Seattle Kraken,Colorado Avalanche,2,3,0,27.0,28.0,,
2024-10-22,2024020107,Vegas Golden Knights,Los Angeles Kings,6,1,0,,,,
2024-10-23,2024020108,Washington Capitals,Philadelphia Flyers,6,3,0,25.0,,,
2024-10-24,2024020109,Boston Bruins,Dallas Stars,2,5,0,27.0,32.0,,
2024-10-24,2024020110,Toronto Maple Leafs,St. Louis Blues,1,5,0,,27.0,,
2024-10-24,2024020111,Detroit Red Wings,New Jersey Devils,5,3,0,,40.0,,
2024-10-24,2024020112,Tampa Bay Lightning,Minnesota Wild,2,4,0,26.0,18.0,,
2024-10-24,2024020113,New York Rangers,Florida Panthers,1,3,0,25.0,,,
2024-10-24,2024020114,Calgary Flames,Carolina Hurricanes,2,4,0,32.0,43.0,,
2024-10-24,2024020115,Utah Hockey Club,Colorado Avalanche,1,5,0,26.0,26.0,,
2024-10-24,2024020116,Seattle Kraken,Winnipeg Jets,3,4,1,32.0,36.0,,
2024-10-24,2024020117,Los Angeles Kings,San Jose Sharks,3,2,0,,26.0,,
2024-10-25,2024020118,Vegas Golden Knights,Ottawa Senators,6,4,0,,39.0,,
2024-10-25,2024020119,New Jersey Devils,New York Islanders,3,4,1,36.0,30.0,,
2024-10-25,2024020120,Chicago Blackhawks,Nashville Predators,2,3,0,29.0,34.0,,
2024-10-25,2024020121,Edmonton Oilers,Pittsburgh Penguins,4,0,0,50.0,27.0,,
2024-10-26,2024020122,Buffalo Sabres,Detroit Red Wings,5,3,0,39.0,25.0,,
2024-10-26,2024020123,Philadelphia Flyers,Minnesota Wild,7,5,0,,26.0,,
2024-10-26,2024020124,Los Angeles Kings,Utah Hockey Club,3,2,0,,26.0,,
2024-10-26,2024020125,Boston Bruins,Toronto Maple Leafs,4,3,1,34.0,23.0,,
2024-10-26,2024020126,Montréal Canadiens,St. Louis Blues,5,2,0,26.0,31.0,,
2024-10-26,2024020127,Tampa Bay Lightning,Washington Capitals,3,0,0,21.0,32.0,,
2024-10-26,2024020128,New York Rangers,Anaheim Ducks,2,1,0,32.0,33.0,,
2024-10-26,2024020129,Calgary Flames,Winnipeg Jets,3,5,0,,,,
2024-10-26,2024020130,New York Islanders,Florida Panthers,3,6,0,,29.0,,
2024-10-26,2024020131,Nashville Predators,Columbus Blue Jackets,4,3,1,,28.0,,
2024-10-26,2024020132,Dallas Stars,Chicago Blackhawks,4,2,0,,24.0,,
2024-10-26,2024020133,Vancouver Canucks,Pittsburgh Penguins,4,3,0,34.0,24.0,,
2024-10-26,2024020134,Vegas Golden Knights,San Jose Sharks,7,3,0,42.0,26.0,,
2024-10-26,2024020135,Seattle Kraken,Carolina Hurricanes,1,4,0,19.0,39.0,,
2024-10-27,2024020136,Detroit Red Wings,Edmonton Oilers,2,3,1,26.0,,,
2024-10-27,2024020137,New Jersey Devils,Anaheim Ducks,6,2,0,34.0,,,
2024-10-27,2024020138,Philadelphia Flyers,Montréal Canadiens,3,4,0,,24.0,,
2024-10-27,2024020139,Colorado Avalanche,Ottawa Senators,5,4,0,32.0,,,
2024-10-28,2024020140,Buffalo Sabres,Florida Panthers,2,5,0,,31.0,,
2024-10-28,2024020141,Tampa Bay Lightning,Nashville Predators,3,2,1,27.0,37.0,,
2024-10-28,2024020142,Columbus Blue Jackets,Edmonton Oilers,6,1,0,,32.0,,
2024-10-28,2024020143,Winnipeg Jets,Toronto Maple Leafs,4,6,0,23.0,36.0,,
2024-10-28,2024020144,Colorado Avalanche,Chicago Blackhawks,2,5,0,26.0,26.0,,
2024-10-28,2024020145,Utah Hockey Club,San Jose Sharks,4,5,1,23.0,46.0,,
2024-10-28,2024020146,Vancouver Canucks,Carolina Hurricanes,3,4,1,,32.0,,
2024-10-28,2024020147,Vegas Golden Knights,Calgary Flames,5,0,0,,16.0,,
2024-10-29,2024020148,Boston Bruins,Philadelphia Flyers,0,2,0,,19.0,,
2024-10-29,2024020149,Montréal Canadiens,Seattle Kraken,2,8,0,,,,
2024-10-29,2024020150,Ottawa Senators,St. Louis Blues,8,1,0,,27.0,,
2024-10-29,2024020151,Washington Capitals,New York Rangers,5,3,0,,19.0,,
2024-10-29,2024020152,New York Islanders,Anaheim Ducks,1,3,0,41.0,22.0,,
2024-10-29,2024020153,Pittsburgh Penguins,Minnesota Wild,3,5,0,29.0,,,
2024-10-29,2024020154,San Jose Sharks,Los Angeles Kings,4,2,0,21.0,,,
2024-10-30,2024020155,Columbus Blue Jackets,New York Islanders,2,0,0,26.0,26.0,,
2024-10-30,2024020156,Detroit Red Wings,Winnipeg Jets,2,6,0,21.0,29.0,,
2024-10-30,2024020157,Colorado Avalanche,Tampa Bay Lightning,2,5,0,,21.0,,
2024-10-30,2024020158,Utah Hockey Club,Calgary Flames,5,1,0,,31.0,,
2024-10-30,2024020159,Vancouver Canucks,New Jersey Devils,0,6,0,20.0,,,
2024-10-30,2024020160,Los Angeles Kings,Vegas Golden Knights,6,3,0,27.0,26.0,,
2024-10-31,2024020161,Toronto Maple Leafs,Seattle Kraken,4,1,0,30.0,25.0,,
2024-10-31,2024020162,Philadelphia Flyers,St. Louis Blues,2,1,0,21.0,,,
2024-10-31,2024020163,Pittsburgh Penguins,Anaheim Ducks,2,1,1,45.0,23.0,,
2024-10-31,2024020164,Washington Capitals,Montréal Canadiens,6,3,0,34.0,,,
2024-10-31,2024020165,Carolina Hurricanes,Boston Bruins,8,2,0,,,,
2024-10-31,2024020166,Nashville Predators,Edmonton Oilers,1,5,0,27.0,29.0,,
2024-10-31,2024020167,San Jose Sharks,Chicago Blackhawks,3,2,0,,29.0,,
2024-11-01,2024020168,Dallas Stars,Florida Panthers,4,6,0,36.0,28.0,,
2024-11-01,2024020169,Buffalo Sabres,New York Islanders,3,4,0,35.0,36.0,,
2024-11-01,2024020170,New York Rangers,Ottawa Senators,2,1,0,18.0,41.0,,
2024-11-01,2024020171,Columbus Blue Jackets,Winnipeg Jets,2,6,0,22.0,,,
2024-11-01,2024020172,Minnesota Wild,Tampa Bay Lightning,5,3,0,22.0,30.0,,
2024-11-01,2024020173,Calgary Flames,New Jersey Devils,3,0,0,32.0,22.0,,
2024-11-02,2024020174,Florida Panthers,Dallas Stars,4,2,0,25.0,25.0,,
2024-11-02,2024020175,Philadelphia Flyers,Boston Bruins,0,3,0,20.0,31.0,,
2024-11-02,2024020176,Los Angeles Kings,Chicago Blackhawks,3,4,1,40.0,21.0,,
2024-11-02,2024020177,Washington Capitals,Columbus Blue Jackets,7,2,0,,36.0,,
2024-11-02,2024020178,Ottawa Senators,Seattle Kraken,3,0,0,23.0,22.0,,
2024-11-02,2024020179,Detroit Red Wings,Buffalo Sabres,2,1,0,23.0,32.0,,
2024-11-02,2024020180,Pittsburgh Penguins,Montréal Canadiens,3,1,0,24.0,26.0,,
2024-11-02,2024020181,St. Louis Blues,Toronto Maple Leafs,4,2,0,,37.0,,
2024-11-02,2024020182,Nashville Predators,Colorado Avalanche,5,2,0,26.0,,,
2024-11-02,2024020183,Vegas Golden Knights,Utah Hockey Club,4,3,1,,19.0,,
2024-11-02,2024020184,San Jose Sharks,Vancouver Canucks,2,3,0,23.0,28.0,,
2024-11-03,2024020185,New York Rangers,New York Islanders,5,2,0,,,,
2024-11-03,2024020186,Winnipeg Jets,Tampa Bay Lightning,7,4,0,34.0,30.0,,
2024-11-03,2024020187,Boston Bruins,Seattle Kraken,2,0,0,,23.0,,
2024-11-03,2024020188,Carolina Hurricanes,Washington Capitals,4,2,0,45.0,21.0,,
