date,id,home,away,hs,as,type,hfg,afg,h3,a3,hreb,areb,hto,ato,spread,total,hml,aml
2025-10-21,401809243,Oklahoma City Thunder,Houston Rockets,125,124,,,,,,,,,,,,,
2025-10-22,401809234,New York Knicks,Cleveland Cavaliers,119,111,,,,,,,,,,,,,
2025-10-22,401809244,Los Angeles Lakers,Golden State Warriors,109,119,,,,,,,,,,,,,
2025-10-22,401809933,Charlotte Hornets,Brooklyn Nets,136,117,,,,,,,,,,,,,
2025-10-22,401809934,Orlando Magic,Miami Heat,125,121,,,,,,,,,,,,,
2025-10-22,401809935,Atlanta Hawks,Toronto Raptors,118,138,,,,,,,,,,,,,
2025-10-22,401809936,Boston Celtics,Philadelphia 76ers,116,117,,,,,,,,,,,,,
2025-10-23,401809235,Dallas Mavericks,San Antonio Spurs,92,125,,,,,,,,,,,,,
2025-10-23,401809236,Indiana Pacers,Oklahoma City Thunder,135,141,,,,,,,,,,,,,
2025-10-23,401809937,Chicago Bulls,Detroit Pistons,115,111,,,,,,,,,,,,,
2025-10-23,401809938,Memphis Grizzlies,New Orleans Pelicans,128,122,,,,,,,,,,,,,
2025-10-23,401809939,Milwaukee Bucks,Washington Wizards,133,120,,,,,,,,,,,,,
2025-10-23,401809940,Utah Jazz,LA Clippers,129,108,,,,,,,,,,,,,
2025-10-23,401809941,Phoenix Suns,Sacramento Kings,120,116,,,,,,,,,,,,,
2025-10-23,401809942,Portland Trail Blazers,Minnesota Timberwolves,114,118,,,,,,,,,,,,,
2025-10-24,401809237,Golden State Warriors,Denver Nuggets,137,131,,,,,,,,,,,,,
2025-10-24,401809943,Orlando Magic,Atlanta Hawks,107,111,,,,,,,,,,,,,
2025-10-24,401809944,Brooklyn Nets,Cleveland Cavaliers,124,131,,,,,,,,,,,,,
2025-10-24,401809945,New York Knicks,Boston Celtics,105,95,,,,,,,,,,,,,
2025-10-24,401809946,Toronto Raptors,Milwaukee Bucks,116,122,,,,,,,,,,,,,
2025-10-25,401809947,Houston Rockets,Detroit Pistons,111,115,,,,,,,,,,,,,
2025-10-25,401809948,Memphis Grizzlies,Miami Heat,114,146,,,,,,,,,,,,,
2025-10-25,401809949,New Orleans Pelicans,San Antonio Spurs,116,120,,,,,,,,,,,,,
2025-10-25,401809950,Dallas Mavericks,Washington Wizards,107,117,,,,,,,,,,,,,
2025-10-25,401809951,Los Angeles Lakers,Minnesota Timberwolves,128,110,,,,,,,,,,,,,
2025-10-25,401809952,Portland Trail Blazers,Golden State Warriors,139,119,,,,,,,,,,,,,
2025-10-25,401809953,Sacramento Kings,Utah Jazz,105,104,,,,,,,,,,,,,
2025-10-25,401809954,LA Clippers,Phoenix Suns,129,102,,,,,,,,,,,,,
2025-10-25,401809955,Orlando Magic,Chicago Bulls,98,110,,,,,,,,,,,,,
