date,id,home,away,hs,as,neutral,type,hid,aid,hfg,afg
2020-11-25,401252794,North Carolina Tar Heels,Charleston Cougars,79,60,0,2,153,232,39.4,40.0
2020-11-25,401254049,Kansas State Wildcats,Drake Bulldogs,70,80,0,2,2306,2181,44.6,48.3
2020-11-25,401254080,Northern Iowa Panthers,Western Kentucky Hilltoppers,87,93,1,2,2460,98,46.0,46.2
2020-11-25,401254696,UAB Blazers,Alcorn State Braves,99,50,0,2,5,2016,53.4,30.2
2020-11-25,401255047,Memphis Tigers,Saint Mary's Gaels,73,56,1,2,235,2608,43.3,33.9
2020-11-25,401255066,Providence Friars,Fairfield Stags,97,56,0,2,2507,2217,48.6,37.3
2020-11-25,401255645,Virginia Cavaliers,Towson Tigers,89,54,1,2,258,119,55.6,36.7
2020-11-25,401257055,Houston Cougars,Lamar Cardinals,89,45,0,2,248,2320,41.7,30.0
2020-11-25,401257450,Kennesaw State Owls,Carver College Cougars,87,40,0,2,338,111946,52.3,26.2
2020-11-25,401257482,Xavier Musketeers,Oakland Golden Grizzlies,101,49,0,2,2752,2473,60.6,23.2
2020-11-25,401257483,Toledo Rockets,Bradley Braves,59,61,1,2,2649,71,33.3,40.7
2020-11-25,401257607,Morgan State Bears,Mount St. Mary's Mountaineers,55,62,0,2,2415,116,40.4,39.6
2020-11-25,401257619,Wofford Terriers,Toccoa Falls Eagles,88,49,0,2,2747,2648,50.0,35.8
2020-11-25,401257632,Pacific Tigers,UC Riverside Highlanders,66,60,0,2,279,27,43.6,46.8
2020-11-25,401257660,Louisville Cardinals,Evansville Purple Aces,79,44,0,2,97,339,58.5,29.8
2020-11-25,401257661,Little Rock Trojans,Prairie View A&M Panthers,71,66,1,2,2031,2504,43.1,49.1
2020-11-25,401258857,Kentucky Wildcats,Morehead State Eagles,81,45,0,2,96,2413,55.9,34.0
2020-11-25,401258893,Ohio Bobcats,Chicago State Cougars,84,61,1,2,195,2130,58.3,35.1
2020-11-25,401258906,UT Arlington Mavericks,Oklahoma State Cowboys,68,75,0,2,250,197,38.0,45.8
2020-11-25,401258910,Austin Peay Governors,Omaha Mavericks,72,66,1,2,2046,2437,43.9,42.6
2020-11-25,401258998,Mercer Bears,North Georgia Saints,79,48,0,2,2382,2455,50.0,31.7
2020-11-25,401258999,East Tennessee State Buccaneers,Abilene Christian Wildcats,47,70,1,2,2193,2000,29.4,40.8
2020-11-25,401259241,UNC Wilmington Seahawks,Western Carolina Catamounts,76,98,1,2,350,2717,37.1,56.3
2020-11-25,401259300,Maryland Terrapins,Old Dominion Monarchs,85,67,0,2,120,295,47.6,37.9
2020-11-25,401259540,Virginia Tech Hokies,Radford Highlanders,77,62,0,2,259,2515,48.3,39.6
2020-11-25,401259772,Navy Midshipmen,George Washington Revolutionaries,78,71,0,2,2426,45,47.7,47.1
