date,id,home,away,hs,as,hsp,hsp_name,asp,asp_name,dh,venue
2025-03-18,778563,Chicago Cubs,Los Angeles Dodgers,1,4,684007,Shota Imanaga,808967,Yoshinobu Yamamoto,1,2397
2025-03-19,778564,Chicago Cubs,Los Angeles Dodgers,3,6,657006,Justin Steele,808963,Roki Sasaki,1,2397
2025-03-27,778557,New York Yankees,Milwaukee Brewers,4,2,607074,Carlos Rodón,642547,Freddy Peralta,1,3313
2025-03-27,778556,Toronto Blue Jays,Baltimore Orioles,2,12,621244,José Berríos,621107,Zach Eflin,1,14
2025-03-27,778553,Texas Rangers,Boston Red Sox,2,5,543135,Nathan Eovaldi,676979,Garrett Crochet,1,5325
2025-03-27,778555,Washington Nationals,Philadelphia Phillies,3,7,669022,MacKenzie Gore,554430,Zack Wheeler,1,3309
2025-03-27,778558,Kansas City Royals,Cleveland Guardians,4,7,666142,Cole Ragans,594902,Ben Lively,1,7
2025-03-27,778559,Houston Astros,New York Mets,3,1,664285,Framber Valdez,605280,Clay Holmes,1,2392
2025-03-27,778561,Cincinnati Reds,San Francisco Giants,4,6,668881,Hunter Greene,657277,Logan Webb,1,2602
2025-03-27,778545,San Diego Padres,Atlanta Braves,7,4,650633,Michael King,519242,Chris Sale,1,2680
2025-03-27,778554,Chicago White Sox,Los Angeles Angels,8,1,680732,Sean Burke,579328,Yusei Kikuchi,1,4
2025-03-27,778562,Miami Marlins,Pittsburgh Pirates,5,4,645261,Sandy Alcantara,694973,Paul Skenes,1,4169
2025-03-27,778551,St. Louis Cardinals,Minnesota Twins,5,3,543243,Sonny Gray,641154,Pablo López,1,2889
2025-03-27,778546,Los Angeles Dodgers,Detroit Tigers,5,4,605483,Blake Snell,669373,Tarik Skubal,1,22
2025-03-27,778552,Arizona Diamondbacks,Chicago Cubs,6,10,668678,Zac Gallen,657006,Justin Steele,1,15
2025-03-27,778547,Seattle Mariners,Athletics,4,2,669302,Logan Gilbert,622663,Luis Severino,1,680
2025-03-28,778560,Tampa Bay Rays,Colorado Rockies,3,2,686752,Ryan Pepiot,607536,Kyle Freeland,1,2523
2025-03-28,778549,Toronto Blue Jays,Baltimore Orioles,8,2,592332,Kevin Gausman,450203,Charlie Morton,1,14
2025-03-28,778548,Miami Marlins,Pittsburgh Pirates,3,4,687362,Connor Gillispie,656605,Mitch Keller,1,4169
2025-03-28,778550,Texas Rangers,Boston Red Sox,4,1,683004,Jack Leiter,656557,Tanner Houck,1,5325
2025-03-28,778518,Houston Astros,New York Mets,1,3,686613,Hunter Brown,656731,Tylor Megill,1,2392
2025-03-28,778543,Arizona Diamondbacks,Chicago Cubs,8,1,518876,Merrill Kelly,592791,Jameson Taillon,1,15
2025-03-28,778541,Seattle Mariners,Athletics,0,7,622491,Luis Castillo,605488,Jeffrey Springs,1,680
2025-03-28,778542,San Diego Padres,Atlanta Braves,4,3,656302,Dylan Cease,625643,Reynaldo López,1,2680
2025-03-28,778544,Los Angeles Dodgers,Detroit Tigers,8,5,808967,Yoshinobu Yamamoto,656427,Jack Flaherty,1,22
2025-03-29,778538,New York Yankees,Milwaukee Brewers,20,9,608331,Max Fried,641482,Nestor Cortes,1,3313
2025-03-29,778534,Chicago White Sox,Los Angeles Angels,0,1,686563,Jonathan Cannon,667755,José Soriano,1,4
2025-03-29,778528,St. Louis Cardinals,Minnesota Twins,5,1,607200,Erick Fedde,657746,Joe Ryan,1,2889
2025-03-29,778536,Toronto Blue Jays,Baltimore Orioles,5,9,453286,Max Scherzer,665152,Dean Kremer,1,14
2025-03-29,778535,Washington Nationals,Philadelphia Phillies,6,11,663623,Jake Irvin,666200,Jesús Luzardo,1,3309
2025-03-29,778529,Kansas City Royals,Cleveland Guardians,4,3,607625,Seth Lugo,668909,Gavin Williams,1,7
2025-03-29,778540,Cincinnati Reds,San Francisco Giants,3,2,666157,Nick Lodolo,434378,Justin Verlander,1,2602
